'Elapsed time','MLII','V5'
'hh:mm:ss.mmm','mV','mV'
'2:00.000',-0.365,-0.255
'2:00.003',-0.370,-0.265
'2:00.006',-0.385,-0.280
'2:00.008',-0.380,-0.255
'2:00.011',-0.375,-0.260
'2:00.014',-0.355,-0.245
'2:00.017',-0.355,-0.245
'2:00.019',-0.370,-0.250
'2:00.022',-0.370,-0.250
'2:00.025',-0.385,-0.255
'2:00.028',-0.385,-0.245
'2:00.031',-0.360,-0.260
'2:00.033',-0.370,-0.255
'2:00.036',-0.360,-0.265
'2:00.039',-0.370,-0.270
'2:00.042',-0.375,-0.260
'2:00.044',-0.370,-0.245
'2:00.047',-0.360,-0.245
'2:00.050',-0.360,-0.250
'2:00.053',-0.370,-0.270
'2:00.056',-0.365,-0.270
'2:00.058',-0.380,-0.270
'2:00.061',-0.360,-0.245
'2:00.064',-0.355,-0.245
'2:00.067',-0.350,-0.250
'2:00.069',-0.365,-0.270
'2:00.072',-0.360,-0.270
'2:00.075',-0.355,-0.270
'2:00.078',-0.340,-0.270
'2:00.081',-0.315,-0.260
'2:00.083',-0.320,-0.260
'2:00.086',-0.310,-0.265
'2:00.089',-0.315,-0.270
'2:00.092',-0.310,-0.260
'2:00.094',-0.295,-0.250
'2:00.097',-0.290,-0.240
'2:00.100',-0.285,-0.240
'2:00.103',-0.275,-0.240
'2:00.106',-0.270,-0.235
'2:00.108',-0.270,-0.225
'2:00.111',-0.255,-0.215
'2:00.114',-0.255,-0.215
'2:00.117',-0.260,-0.220
'2:00.119',-0.265,-0.235
'2:00.122',-0.275,-0.230
'2:00.125',-0.280,-0.210
'2:00.128',-0.280,-0.195
'2:00.131',-0.280,-0.180
'2:00.133',-0.280,-0.190
'2:00.136',-0.275,-0.210
'2:00.139',-0.285,-0.210
'2:00.142',-0.290,-0.215
'2:00.144',-0.285,-0.205
'2:00.147',-0.260,-0.195
'2:00.150',-0.250,-0.205
'2:00.153',-0.235,-0.220
'2:00.156',-0.250,-0.230
'2:00.158',-0.280,-0.225
'2:00.161',-0.305,-0.230
'2:00.164',-0.320,-0.220
'2:00.167',-0.320,-0.225
'2:00.169',-0.345,-0.240
'2:00.172',-0.360,-0.240
'2:00.175',-0.375,-0.245
'2:00.178',-0.370,-0.245
'2:00.181',-0.370,-0.235
'2:00.183',-0.370,-0.250
'2:00.186',-0.375,-0.260
'2:00.189',-0.375,-0.270
'2:00.192',-0.385,-0.260
'2:00.194',-0.380,-0.245
'2:00.197',-0.375,-0.240
'2:00.200',-0.380,-0.260
'2:00.203',-0.385,-0.260
'2:00.206',-0.395,-0.265
'2:00.208',-0.400,-0.255
'2:00.211',-0.390,-0.260
'2:00.214',-0.375,-0.235
'2:00.217',-0.375,-0.245
'2:00.219',-0.375,-0.245
'2:00.222',-0.385,-0.260
'2:00.225',-0.390,-0.240
'2:00.228',-0.375,-0.240
'2:00.231',-0.360,-0.245
'2:00.233',-0.370,-0.245
'2:00.236',-0.370,-0.250
'2:00.239',-0.380,-0.245
'2:00.242',-0.400,-0.255
'2:00.244',-0.390,-0.245
'2:00.247',-0.385,-0.255
'2:00.250',-0.390,-0.270
'2:00.253',-0.415,-0.305
'2:00.256',-0.450,-0.330
'2:00.258',-0.490,-0.350
'2:00.261',-0.510,-0.360
'2:00.264',-0.515,-0.390
'2:00.267',-0.535,-0.385
'2:00.269',-0.575,-0.340
'2:00.272',-0.605,-0.240
'2:00.275',-0.560,-0.090
'2:00.278',-0.440,0.020
'2:00.281',-0.295,0.135
'2:00.283',-0.135,0.240
'2:00.286',0.045,0.340
'2:00.289',0.285,0.455
'2:00.292',0.565,0.585
'2:00.294',0.790,0.650
'2:00.297',0.910,0.580
'2:00.300',0.895,0.290
'2:00.303',0.685,-0.070
'2:00.306',0.295,-0.310
'2:00.308',-0.140,-0.345
'2:00.311',-0.425,-0.295
'2:00.314',-0.515,-0.270
'2:00.317',-0.500,-0.270
'2:00.319',-0.450,-0.275
'2:00.322',-0.430,-0.270
'2:00.325',-0.415,-0.270
'2:00.328',-0.415,-0.275
'2:00.331',-0.400,-0.280
'2:00.333',-0.400,-0.275
'2:00.336',-0.405,-0.295
'2:00.339',-0.425,-0.300
'2:00.342',-0.420,-0.290
'2:00.344',-0.430,-0.280
'2:00.347',-0.415,-0.280
'2:00.350',-0.415,-0.285
'2:00.353',-0.415,-0.295
'2:00.356',-0.425,-0.300
'2:00.358',-0.430,-0.300
'2:00.361',-0.415,-0.285
'2:00.364',-0.405,-0.275
'2:00.367',-0.400,-0.270
'2:00.369',-0.410,-0.290
'2:00.372',-0.420,-0.300
'2:00.375',-0.435,-0.290
'2:00.378',-0.420,-0.280
'2:00.381',-0.415,-0.275
'2:00.383',-0.415,-0.280
'2:00.386',-0.425,-0.280
'2:00.389',-0.430,-0.275
'2:00.392',-0.425,-0.285
'2:00.394',-0.420,-0.275
'2:00.397',-0.400,-0.270
'2:00.400',-0.410,-0.270
